43;Dream Sushi;2.295168800000056;48.8951722;asiatique;japonais;4 Rue Trézel;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 08 53;;;;;;;0;1
44;En Vert et Contre Tous;2.287602;48.890685;restaurant;traditionnel;37bis Rue Carnot;;;92300;;LEVALLOIS-PERRET;;;;;09 82 51 04 21;;;;https://www.facebook.com/EnVertContreTous;;;225;1
45;Espace Carnot;2.288896;48.889363;restaurant;traditionnel;44 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 47 48 13 93;;;;;;;0;1
46;Esquisito;2.285711900000024;48.8927032;italien;italien;73 Rue Carnot;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 47 11;;;;;;;0;1
47;Étoile de Chine;2.2766496;48.896394;asiatique;chinois;25 Rue Ernest Cognacq;;;92300;;LEVALLOIS-PERRET;;;;;01 47 59 61 88;;;;;;;0;1
48;Family Café;2.276492200000007;48.8957003;restaurant;traditionnel;17 Rue Marcel Cerdan;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 02 60;;;;;;;0;1
49;Foctak;2.28131;48.8987841;asiatique;chinois;5 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 07 78;;;;;;;0;1
50;Gauvain;2.2829437;48.8891288;restaurant;traditionnel;11 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 18 39;;;;;;;0;1
51;Gigi;2.282051000000024;48.8985785;italien;italien;12 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 46 26;;;;;;;0;1
52;Goût d'Argan;2.2926769000000604;48.8967802;exotique;oriental;35 Rue Camille Pelletan;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
53;Granterroirs;2.288246;48.889992;restaurant;traditionnel;27 Rue Carnot;;;92300;;LEVALLOIS-PERRET;;http://www.granterroirs.com/;;;01 41 34 39 70;;;;;;;225;1
54;HD Diner;2.2973239000000376;48.892462;snacking;burgers;31 Rue d'Alsace;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
55;Hippopotamus;2.281732;48.899251;restaurant;traditionnel;25 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;http://www.hippopotamus.fr/resto/levallois-13282840332068.html;;;01 47 48 15 55;;;;;;;0;1
56;Hokkaido;2.283717499999966;48.8937966;asiatique;japonais;96 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 56 11;;;;;;;0;1
57;Hollywood Canteen;2.2899505999999974;48.8901016;italien;italien;65 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 40 87 03 57;;;;;;;0;1
58;Hong-Kong;2.2882842;48.8918309;asiatique;chinois;42 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;01 47 39 81 26;;;;;;;0;1
59;Hot Pants;2.287719599999946;48.8885721;italien;italien;28 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 40 89 00 53;;;;;;;0;1
60;Ichiban;2.2938166;48.8928694;asiatique;japonais;65 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;08 99 23 16 72;;;;;;;0;1
61;In Casa;2.2756385999999793;48.8966719;italien;italien;27 Avenue André Malraux;;;92300;;LEVALLOIS-PERRET;;;;;01 47 31 81 51;;;;;;;0;1
62;Je l'M;2.288393;48.890799;restaurant;traditionnel;4 Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 49 00;;;;;;;315;1
63;Kaokab;2.285998;48.898832;exotique;libanais;102 Rue Rivay;;;92300;;LEVALLOIS-PERRET;;;;;01 47 39 81 18;;;;;;;45;1
64;Ko Samui;2.2882842;48.8918309;asiatique;thaï;42 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;01 47 39 81 26;;;;;;;0;1
65;Kyoto;2.2938272000000097;48.8923428;asiatique;japonais;56 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;01 42 7069 41;;;;;;;0;1
66;La Belle Époque;2.292881;48.896430;restaurant;traditionnel;17 Rue Raspail;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 35 54;;;;;;;0;1
67;La Bonne Franquette;2.292189;48.8912754;restaurant;traditionnel;3 Rue Rivay;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 31 24;;;;;;;0;1
68;La Cannelle;2.2817368;48.8991688;restaurant;traditionnel;27 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 52 70;;;;;;;0;1
69;La Cerisaie;2.279302;48.890661;restaurant;traditionnel;56 Rue de Villiers;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 40 61;;;;;;;45;1
70;La Fine Bouche;2.2973362999999836;48.89594;exotique;oriental;119 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
71;La Koutoubia;2.2905788000000484;48.8972187;exotique;oriental;45 Rue Marjolin;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
72;La Maiella;2.279496999999992;48.8905215;italien;italien;54 Rue de Villiers;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 58 46;;;;;;;0;1
73;La Marjolaine;2.2906758999999965;48.8976582;italien;italien;58 Rue Marjolin;;;92300;;LEVALLOIS-PERRET;;;;;01 47 31 01 79;;;;;;;0;1
74;La Montagne;2.2873988;48.8995215;restaurant;traditionnel;158 Rue Jules Guesde;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 40 79;;;;;;;0;1
75;La Pergola;2.285039;48.887407;restaurant;traditionnel;1 Place De Lattre De Tassigny;;;92300;;LEVALLOIS-PERRET;;http://www.la-pergola-restaurant.fr/;;;01 47 57 40 86;;;;;;;135;1
76;La Piazzeta;2.289357099999961;48.8902682;italien;italien;1 Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 12 86;;;;;;;0;1
77;La Romana;2.2877642999999352;48.8916206;italien;italien;29 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 42 78;;;;;;;0;1
78;La Samb;2.2798381000000063;48.8958907;italien;italien;141 Rue Marius Aufran;;;92300;;LEVALLOIS-PERRET;;;;;09 54 92 65 45;;;;;;;0;1
79;La Squisita;2.2973753999999644;48.8944085;italien;italien;50 Rue Deguingand;;;92300;;LEVALLOIS-PERRET;;;;;01 47 30 09 75;;;;;;;0;1
80;La Table Rouge;2.295211;48.897496;italien;italien;126 Rue Victor Hugo;;;92300;;LEVALLOIS-PERRET;;http://latablerouge.fr/;;;01 46 39 08 40;;;;;;;45;1
81;La Taverne de Chine;2.2811399;48.8932407;asiatique;chinois;19 Rue Kléber;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 89 78;;;;;;;0;1
82;La Taverne de la Mairie;2.289016400000037;48.8915241;exotique;libanais;74 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 36 57;;;;;;;0;1
83;La Trattoria;2.284371999999962;48.8902042;italien;italien;47 Rue Marius Aufran;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 40 11;;;;;;;0;1
84;La Tuile;2.292304100000024;48.8978608;crêperie;crêperie;101bis Rue Paul Vaillant-Couturier;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
85;La Vallée de l'Ourika;2.2959673000000294;48.8961627;exotique;oriental;83 Rue Victor Hugo;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
86;L'Alter Native;2.285922;48.890487;exotique;créole;41 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;http://www.alter-native.fr/;;;01 79 30 08 07;;;;;;;5;1
87;L'Amethystos;2.280829;48.891050;exotique;grecque;81  Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 26 10;;;;;;;225;1
88;L'Anjou;2.287991;48.890244;restaurant;traditionnel;22 Rue Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;http://anjou-levallois.com/;;;01 41 05 09 92;;;;http://www.facebook.com/lanjou.levallois;;https://instagram.com/gandonsylvain;225;1
89;L'Appel à Tarte;2.282794;48.899294;snacking;tartes;43 Avenue Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;http://www.lappelatarte.net/;;;01 72 61 61 09;;;;https://www.facebook.com/LappelaTarte;;;315;1
90;L'Ariel;2.285029399999985;48.8978754;brasserie;brasserie;62 Rue Baudin;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
91;L'Audacieux;2.284048;48.889841;restaurant;traditionnel;51 Rue Danton;;;92300;;LEVALLOIS-PERRET;;https://laudacieux.wordpress.com/;;;01 47 59 94 17;;;;;;;225;1
92;L'Authentique;2.284720;48.887419;restaurant;traditionnel;9 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 75 10;;;;;;;315;1
93;Le 421;2.292241;48.895269;exotique;oriental;18 Rue Pierre Brossolette;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 57 71;;;;https://www.facebook.com/pages/Le-421/469004586483735;;;225;1
94;Le Balto;2.2868144000000257;48.8932252;brasserie;brasserie;48 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
95;Le Bellanger;2.2950577000000294;48.8963673;exotique;oriental;13 Rue Bellanger;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
96;Le Bistrot;2.2868647;48.8883888;restaurant;traditionnel;31 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 03 29;;;;;;;0;1
97;Le Bistrot Cantine;2.286706;48.890681;italien;italien;50 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;http://www.lebistrotcantine.com/;;;01 47 57 25 98;;;;;;;135;1
98;Le Bistrot de Lola;2.290102;48.893533;restaurant;traditionnel;39 Rue Rivay;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 87 43;;;;;;;225;1
99;Le Bistrot de Lolotte;2.289437;48.894551;restaurant;traditionnel;1 Place d'Estienne d'Orves;;;92300;;LEVALLOIS-PERRET;;http://www.lebistrotdelolotte.fr/;;;01 47 30 32 65;;;;;;;15;1
100;Le Bistrot d'Oscar;2.285198;48.887402;restaurant;traditionnel;1 Place De Lattre De Tassigny;;;92300;;LEVALLOIS-PERRET;;;;;01 47 59 00 82;;;;;;;225;1
101;Le Boléro de Ravel;2.287573;48.892147;restaurant;traditionnel;37 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 98 30;;;;;;;270;1
102;Le Bouchon;2.2800796;48.8959746;restaurant;traditionnel;20 Rue Baudin;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 63 11;;;;;;;0;1
103;Le Bullier;2.2955489999999372;48.8942954;brasserie;brasserie;95 Rue Jean jaurès;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
104;Le Castelnau;2.2835866;48.8918198;restaurant;traditionnel;80 Rue Marius Aufran;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 02 74;;;;;;;0;1
105;Le Cavé;2.286450699999932;48.8985085;brasserie;brasserie;76 Rue Baudin;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
106;Le Celtique;2.2859842999999955;48.8914231;brasserie;brasserie;51 Rue Aristide Briand;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
107;Le Charleston;2.2899507;48.8984742;restaurant;traditionnel;68ter Rue Marjolin;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 18 08;;;;;;;0;1
108;Le Cinq;2.2890322;48.890148;restaurant;traditionnel;5 Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
